comment, channel
"Mr<br> President I want to first say, &quot; THANK YOU &quot; for all that you did to make AMERICA GREAT again. Words alone are not enough to show you how much you are Loved and missed. You showed all Patriotic Americans that when you put God and Country before yourself what you get in return is UNCONDITIONAL Love from our Savior, PRIDE in Your Country, Pride in your fellow American BROTHER / SISTER &amp; Pride in ones self.<br>God Bless You and Your family Mr<br> President &amp; GOD BLESS AMERICA.🖖", FOX
"We need president Trump for 4 more years and so much  more  ..Should not <br>take anyone with  more brain than a moron to comprehend that BIDEN IS <br>UNFIT TO SERVE with Alzheimers ??", FOX
"wilon", FOX
"Demos want blood!  They are going to get it!  They are terrified of true Americans!", FOX
"This was great why did I never see this where the hell was I on the moon this was powerful how the hell does this freaking Biden get in what the hell. <br>How the hell did this communist Biden ever get in this had to be A rigged election it had to be.", FOX
"The speech around 15 minute mark. It&#39;s like made and read by a 7 year old, to other 7 year olds. So childish.", FOX
"I remember when everybody preached about secret societies, Rich elite selfish looking for their only selfish purpose , To give all the power to the false sacred Roman system, They will not stop as satan want this to happen, be alert because God will intervene  soon in favor of those who are willing to sacrifice their own life. Be alert and be also ready to give a solemn message to the world before the second coming of Jesus to depart from this shame full world.", FOX
"I hope you enjoy your new White House and Capital IT belongs to RUSSIA.!!!", FOX
"❤️🙏🙋🏽‍♀️🇺🇸🇮🇱", FOX
"So when are we going to see some ACTION??????? Tired of hearing what we already KNOW.", FOX
"We will not surrender the Truth of the American dream.", FOX
"Trump will always 💯be my President. No matter what.", FOX
"Love to watch but ads got in the way", FOX
"President Trump.The Bodyguard of Western Civilization.Amen", FOX
"Love this Video.God help America.", FOX
"Is he still Conning u. Not me", FOX
"I don&#39;t  like  this  news", FOX
"Gods watching.", FOX
"Those aren&#39;t heros unless you&#39;re a racist prick dumba$$.", FOX
"What a man. Trump is a role model.", FOX
"Bring back my TRUMP.<br>Latinos For Trump 2024🇺🇸👍🏼💥", FOX
"Love this man Trump.", FOX
"Amen to that. Donald Trump is the man.💖", FOX
"May America get back on track!!!🙏🏽", FOX
"}ggggcg}ggg}ggggggg}ggggggggggggggg}}g}gggggc}}}}g}g}}}g}}gg}g}g}ggggggggggggggggggggggggggg}ggggggggggg}gggggggggggggggggggggggggggggggg}}}}}}gg}ggg}gggggggg}ggggggggggggggggg++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++/+++++++++++++++++++++++++++++++++++++++:++++++++++++++++++++++++/+😅)", FOX
"truly missed", FOX
"That not true", FOX
"Donald J. Trump..........coming soon to a prison near you!", FOX
"To both sides I will tell you straight out the election was stolen and we&#39;re going to get it back get out of our way or get hurt", FOX
"I wish more folks back then (8/24/2020) actually listened..... but I know you couldn&#39;t hear the truth bcuz the left was busy with nonstop BS in your ear you couldn&#39;t even think of the right thing to do.....so what do you think now America?  Was your (the left) programmed vitriolic hate response to Trump worth it?????", FOX
"And just look at poor Matt Gaetz. You know what he&#39;s thinking about!", FOX
"the first two minutes of this made me miss trump so much.", FOX
"Trump got Cheated! Everybody knows the election was rigged . There is factual evidence to back it up", FOX
"Haley/Scott (DeSantis) for President!!!", FOX
"Please let Nikki Haley be our first woman president.  DON&#39;T DIE JOE!", FOX
"I&#39;m a firm believer in the Constitution and all it stands for, I am pro-life. I read the Bible ( several translations ) and I&#39;m a Christian.  I know lies when I hear them. Beware the Sin of the Spirit.   Mark 3: 28    Hebrews 10: 26, 27", FOX
"She is ds!", FOX
"Ouhaaa for President J. D. Trump.", FOX
"The woozy tile relatedly pour because key previously obtain via a dead text. squalid, cumbersome beech", FOX
"HAHAHAHAHHAHAH IMAGINE BEING STUPID ENOUGH TO BELIEVE ANY OF THIS", FOX
"Trump won!🇺🇸❣❣❣<br>&#39;An appeal to  Heaven!🌲<br>God wins!🙏", FOX
"Best president ever in modern America history", FOX
"I hope Mr Trump is hitting the gym! I think in 2023 The Republican Party should do a Rocky skit of Mr Trump waking up and eating raw eggs! The worlds going to such a mess! I think he will probably win every state, except Hawaii maybe New York and California 🤮When you let angry people in and give them support the world is in trouble!", FOX
"Dearest Melania, I cannot thank you enough for your most eloquent statement of truth. May the gracious Lord God Almighty bless you, your husband and all who are speaking and standing up for the truth against the perfidy of the present fraudulent administration. America, Home of the Free because of the Brave🇺🇸", FOX
"tHUMB UP, shared.. an I-am British,, but any fool can see the differences.. thimbs up", FOX
"You mean 8 more years right", FOX
"Do this again people need to know about this...", FOX
"Trump was fighting off the Democrats and with one hand behind his back and was signed in bills with the other hand and he&#39;d beat them all he was the best president we ever had", FOX
"It&#39;s crazy how much of this has come true that they were saying about biden&#39;s disgusting administration", FOX
"I miss him💔", FOX
"in a few months people will start die ing from the shots....", FOX
"I need to see this. Joe is destroying this country.", FOX
"Praying for our President Donald Trump to return  in God we trust 🇺🇸", FOX
"Coming back to this video in hindsight makes me angry but also strangely calm. As part of the next generation I hope I can do my part to make sure people like Joe Biden and those who pull his strings never threaten the free world again", FOX
"Kimberly Nicole Klacik FOR POTUS 2024!!!", FOX
"WE MISS YOU.", FOX
"AGREEEEE &amp; TRUTH WE CANNOT LET SLEEPY JOE KEEP RUNNIN THIS NATION UNDERGROUND GOD IZZ NOT HAPPY W MANY MANY HERE SMELL THE MILK 🥛 ☕️ IT STINKS 😷 THATS WHY PPL WEAR MASKS THE STENCH IZZ IS EVERYWHERE", FOX
"Another entity has taken over this country and people are not getting it in thiere heads . Get out  get out Get out", FOX
"Trump reign is over this is what I need all of my fellow free men and woman to do go buy land on the outskirt of your state  and buy a connex box and put it on that land furnish it with free craigs list furniture and self contain.water and battery power you will not 🚫 be prepared for what&#39;s coming and the one that survives are the ones that do will be one the outskirts.  Get out my children  or suffer in it&#39;s plagues .", FOX
"I miss our President Trump he is the best President ever!", FOX
"Thank you Retired American Generals for coming forward to support the US Constitution and the Bill Of Rights.<br>We American Citizens Salute you in your brave and courageous stand against The Democrat/ Biden Attack<br>Against our Liberty, Justice and Freedoms.  Please continue and show us how to turn the tide against these<br>Criminal Marxists in Washington D C.  Please Lead us and help President Trump resume his good Leadership.<br>Trace Stevens  tms poet  Ohio", FOX
"His tweets made me cringe sometimes but he loved America.<br>Oh well Biden will make Jimmy Carter look like a great leader after his handlers finish this horror show that&#39;s going on now.", FOX
"He is A GOOD LEADER IF YOUR COUNTRY WITH A BIG HEART ♥️ TRUMP A BUSINESSMAN NOT A POLITICIAN", FOX
"Wonder why the subtitles arnt right", FOX
"“Take the guns first” ~Trump", FOX
"He lost you stump", FOX
"Excitement for pres what? Cheetos?", FOX
"Grab em by the 🐈‍⬛", FOX
"He didn’t pick you because your a woman, he picked you because he grabbed your 🐈", FOX
"He has a deep love for grabbing 🐈", FOX
"Trump is still my president", FOX
"The Best<br>.Be Best.", FOX
"BS", FOX
"We love our President Trump and everything he has done for our country. He ran it like a business, this is why he was voted in. The American people are sick and tired of &quot;status quo&quot;...Sick of it..!  Politicians have proved it time and again...they lie,...they lie more to cover up the lie they just told. America is TIRED OF IT..! Bring Trump back..!  AMEN.", FOX
"<b>MISS YOU!</b>", FOX
"It’s so sad these leftist Democratic’s fooled the old Democratic’s to hate greatest president in our history DONALD TRUMP we love you President TRUMP", FOX
"I woke up to this playing in my earphones at 1 am. I have never felt such a clear message of what we were warned of and now experiencing today May 16, 2021.", FOX
"Still here. We have not forgotten", FOX
